,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
63,Rachel Weisz,3/7/70,"Westminster, London, England, UK","['The Constant Gardener', 'The Lobster', 'The Favourite', 'The Mummy']",41,73,https://www.imdb.com/name/nm0001838/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001838/awards?ref_=nm_ql_2
64,Zac Efron,10/18/87,"San Luis Obispo, California, USA","['High School Musical 3: Senior Year', 'The Greatest Showman', 'Hairspray', '17 Again']",31,32,https://www.imdb.com/name/nm1374980/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1374980/awards?ref_=nm_ql_2
65,Edward Asner,11/15/29,"Kansas City, Missouri, USA","['Up', 'The Mary Tyler Moore Show', 'Elf', 'JFK']",37,25,https://www.imdb.com/name/nm0000799/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000799/awards?ref_=nm_ql_2
66,Vera Farmiga,8/6/73,"Clifton, New Jersey, USA","['Up in the Air', 'The Departed', 'Orphan', 'Bates Motel']",19,77,https://www.imdb.com/name/nm0267812/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0267812/awards?ref_=nm_ql_2
67,Sharlto Copley,11/27/73,"Johannesburg, South Africa","['District 9', 'Chappie', 'Hardcore Henry', 'The A-Team']",1,12,https://www.imdb.com/name/nm1663205/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1663205/awards?ref_=nm_ql_2
68,Adrien Brody,4/14/73,"Woodhaven, Queens, New York City, New York, USA","['The Pianist', 'The Grand Budapest Hotel', 'Detachment', 'Midnight in Paris']",13,35,https://www.imdb.com/name/nm0004778/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0004778/awards?ref_=nm_ql_2
69,Sam Rockwell,11/5/68,"Daly City, California, USA","['Moon', 'Three Billboards Outside Ebbing, Missouri', 'Seven Psychopaths', 'Confessions of a Dangerous Mind']",45,65,https://www.imdb.com/name/nm0005377/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005377/awards?ref_=nm_ql_2
70,Nathaniel Brown,5/20/88,"Richmond, Virginia, USA","['Enter the Void', 'Druid Peak', 'Blinders', 'Boys on Film X']",NA,NA,https://www.imdb.com/name/nm1140926/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1140926/awards?ref_=nm_ql_2
71,Rachel Korine,4/4/86,"Nashville, Tennessee, USA","['Spring Breakers', 'Mister Lonely', 'Men Go to Battle', 'Trash Humpers']",0,1,https://www.imdb.com/name/nm2540339/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2540339/awards?ref_=nm_ql_2
72,Ginnifer Goodwin,5/22/78,"Memphis, Tennessee, USA","['Big Love', 'Walk the Line', 'A Single Man', 'Zootopia']",3,15,https://www.imdb.com/name/nm0329481/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0329481/awards?ref_=nm_ql_2
73,Vince Vaughn,3/28/70,"Minneapolis, Minnesota, USA","['The Break-Up', 'Wedding Crashers', 'Couples Retreat', 'Old School']",7,14,https://www.imdb.com/name/nm0000681/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000681/awards?ref_=nm_ql_2
74,Zooey Deschanel,1/17/80,"Los Angeles, California, USA","['New Girl', '(500) Days of Summer', 'The Happening', ""The Hitchhiker's Guide to the Galaxy""]",7,37,https://www.imdb.com/name/nm0221046/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0221046/awards?ref_=nm_ql_2
75,Sandra Bullock,7/26/64,"Arlington, Virginia, USA","['The Proposal', 'Miss Congeniality', 'Gravity', 'Speed']",76,112,https://www.imdb.com/name/nm0000113/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000113/awards?ref_=nm_ql_2
76,Willem Dafoe,7/22/55,"Appleton, Wisconsin, USA","['Spider-Man', 'The Grand Budapest Hotel', 'Shadow of the Vampire', 'Antichrist']",69,80,https://www.imdb.com/name/nm0000353/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000353/awards?ref_=nm_ql_2
77,George Clooney,5/6/61,"Lexington, Kentucky, USA","['Michael Clayton', 'Up in the Air', 'The Ides of March', 'The Monuments Men']",90,199,https://www.imdb.com/name/nm0000123/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000123/awards?ref_=nm_ql_2
78,John Cusack,6/28/66,"Evanston, Illinois, USA","['Grosse Pointe Blank', 'High Fidelity', 'Say Anything...', '1408']",7,20,https://www.imdb.com/name/nm0000131/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000131/awards?ref_=nm_ql_2
79,Christopher Plummer,12/13/29,"Toronto, Ontario, Canada","['Beginners', 'The Insider', 'All the Money in the World', 'Remember']",46,62,https://www.imdb.com/name/nm0001626/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001626/awards?ref_=nm_ql_2
80,Dieter Laser,2/17/42,"Kiel, Schleswig-Holstein, Germany","['November', 'The Human Centipede III (Final Sequence)', 'The Human Centipede (First Sequence)', 'Baltic Storm']",3,2,https://www.imdb.com/name/nm0489504/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0489504/awards?ref_=nm_ql_2
81,Dakota Fanning,2/23/94,"Conyers, Georgia, USA","['War of the Worlds', 'I Am Sam', 'Man on Fire', 'Coraline']",17,29,https://www.imdb.com/name/nm0266824/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0266824/awards?ref_=nm_ql_2
82,Jared Leto,12/26/71,"Bossier City, Louisiana, USA","['Dallas Buyers Club', 'Suicide Squad', 'Requiem for a Dream', 'The Thin Red Line']",50,35,https://www.imdb.com/name/nm0001467/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001467/awards?ref_=nm_ql_2
83,Ricardo Darín,1/16/57,"Buenos Aires, Federal District, Argentina","['The Secret in Their Eyes', 'Nine Queens', 'Relatos salvajes', 'Truman']",34,33,https://www.imdb.com/name/nm0201857/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0201857/awards?ref_=nm_ql_2
84,Dennis Quaid,4/9/54,"Houston, Texas, USA","['The Day After Tomorrow', 'Far from Heaven', 'Frequency', 'Innerspace']",11,27,https://www.imdb.com/name/nm0000598/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000598/awards?ref_=nm_ql_2
85,Aamir Khan,3/14/65,"Bombay, Maharashtra, India","['Lagaan: Once Upon a Time in India', 'Taare Zameen Par', 'Dangal', 'Rang De Basanti']",36,50,https://www.imdb.com/name/nm0451148/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0451148/awards?ref_=nm_ql_2
86,Megan Fox,5/16/86,"Rockwood, Tennessee, USA","['Transformers', 'Teenage Mutant Ninja Turtles', ""Jennifer's Body"", 'Teenage Mutant Ninja Turtles: Out of the Shadows']",7,21,https://www.imdb.com/name/nm1083271/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1083271/awards?ref_=nm_ql_2
87,Vin Diesel,7/18/67,"Alameda County, California, USA","['Guardians of the Galaxy', 'The Fast and the Furious', 'Furious 7', 'xXx']",8,33,https://www.imdb.com/name/nm0004874/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0004874/awards?ref_=nm_ql_2
88,Christos Stergioglou,1952-0-0,NA,"['Dogtooth', 'Tha to metanioseis', 'I aionia epistrofi tou Antoni Paraskeva', 'Adikos kosmos']",3,2,https://www.imdb.com/name/nm1176651/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1176651/awards?ref_=nm_ql_2
89,Tom Hanks,7/9/56,"Concord, California, USA","['Cast Away', 'Forrest Gump', 'Saving Private Ryan', 'Big']",84,151,https://www.imdb.com/name/nm0000158/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000158/awards?ref_=nm_ql_2
90,Anika Noni Rose,9/6/72,"Bloomfield, Connecticut, USA","['The Princess and the Frog', 'Dreamgirls', 'Ralph Breaks the Internet', 'Everything, Everything']",6,21,https://www.imdb.com/name/nm0741242/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0741242/awards?ref_=nm_ql_2
91,Gabourey Sidibe,5/6/83,"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA","['Precious', 'Tower Heist', 'Seven Psychopaths', 'Empire']",28,39,https://www.imdb.com/name/nm2829737/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2829737/awards?ref_=nm_ql_2
92,Viggo Mortensen,10/20/58,"Manhattan, New York City, New York, USA","['The Lord of the Rings: The Return of the King', 'Captain Fantastic', 'Eastern Promises', 'The Road']",38,112,https://www.imdb.com/name/nm0001557/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001557/awards?ref_=nm_ql_2
93,Will Arnett,5/4/70,"Toronto, Ontario, Canada","['Arrested Development', 'The Lego Batman Movie', 'The Lego Movie', 'Teenage Mutant Ninja Turtles: Out of the Shadows']",10,29,https://www.imdb.com/name/nm0004715/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0004715/awards?ref_=nm_ql_2
94,Jake Gyllenhaal,12/19/80,"Los Angeles, California, USA","['Nightcrawler', 'Brokeback Mountain', 'Prisoners', 'Donnie Darko']",36,97,https://www.imdb.com/name/nm0350453/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0350453/awards?ref_=nm_ql_2
95,Michael Nyqvist,11/8/60,"Stockholm, Stockholms län, Sweden","['Mission: Impossible - Ghost Protocol', 'John Wick', 'The Girl with the Dragon Tattoo', 'Abduction']",6,7,https://www.imdb.com/name/nm0638824/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0638824/awards?ref_=nm_ql_2
96,Beyoncé,9/4/81,"Houston, Texas, USA","['Dreamgirls', 'Obsessed', 'Austin Powers in Goldmember', 'Cadillac Records']",69,159,https://www.imdb.com/name/nm0461498/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0461498/awards?ref_=nm_ql_2
97,Richard Gere,8/31/49,"Philadelphia, Pennsylvania, USA","['Chicago', 'Pretty Woman', 'Shall We Dance', 'The Jackal']",21,27,https://www.imdb.com/name/nm0000152/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000152/awards?ref_=nm_ql_2
98,Jason Lee,4/25/70,"Orange, California, USA","['Almost Famous', 'Chasing Amy', 'My Name Is Earl', 'Mallrats']",2,22,https://www.imdb.com/name/nm0005134/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005134/awards?ref_=nm_ql_2
65,Melissa George,8/6/76,"Perth, Western Australia, Australia","['Hunted', 'Home and Away', 'Triangle', 'Alias']",4,9,https://www.imdb.com/name/nm0313534/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0313534/awards?ref_=nm_ql_2
66,Nicolas Cage,1/7/64,"Long Beach, California, USA","['Face/Off', 'Leaving Las Vegas', 'The Rock', 'Next']",46,67,https://www.imdb.com/name/nm0000115/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000115/awards?ref_=nm_ql_2
67,Garret Dillahunt,11/24/64,"Castro Valley, California, USA","['12 Years a Slave', 'Deadwood', 'No Country for Old Men', 'Raising Hope']",6,12,https://www.imdb.com/name/nm0226813/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0226813/awards?ref_=nm_ql_2
68,Renée Zellweger,4/25/69,"Katy, Texas, USA","['Chicago', 'Cold Mountain', 'Jerry Maguire', ""Bridget Jones's Diary""]",30,73,https://www.imdb.com/name/nm0000250/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000250/awards?ref_=nm_ql_2
69,Eric Bana,8/9/68,"Melbourne, Victoria, Australia","['Munich', 'Troy', 'Chopper', ""The Time Traveler's Wife""]",8,13,https://www.imdb.com/name/nm0051509/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0051509/awards?ref_=nm_ql_2
70,Michael Stuhlbarg,7/5/68,"Long Beach, California, USA","['A Serious Man', 'Call Me by Your Name', 'The Shape of Water', 'Boardwalk Empire']",12,50,https://www.imdb.com/name/nm0836121/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0836121/awards?ref_=nm_ql_2
71,Justin Chatwin,10/31/82,"Nanaimo, British Columbia, Canada","['Dragonball: Evolution', 'War of the Worlds', 'The Invisible', 'Shameless']",0,1,https://www.imdb.com/name/nm0154226/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0154226/awards?ref_=nm_ql_2
72,Milla Jovovich,12/17/75,"Kiev, Ukrainian SSR, USSR [now Ukraine]","['The Fifth Element', 'Resident Evil: Afterlife', 'The Fourth Kind', 'Resident Evil: Extinction']",3,19,https://www.imdb.com/name/nm0000170/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000170/awards?ref_=nm_ql_2
73,Julianne Moore,12/3/60,"Fayetteville, North Carolina, USA","['The Hours', 'Still Alice', 'The Kids Are All Right', 'Maps to the Stars']",113,155,https://www.imdb.com/name/nm0000194/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000194/awards?ref_=nm_ql_2
74,Russell Crowe,4/7/64,"Wellington, New Zealand","['Les Misérables', 'Gladiator', 'A Beautiful Mind', 'L.A. Confidential']",36,74,https://www.imdb.com/name/nm0000128/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000128/awards?ref_=nm_ql_2
75,Colin Firth,9/10/60,"Grayshott, Hampshire, England, UK","['A Single Man', ""The King's Speech"", ""Bridget Jones's Diary"", 'Kingsman: The Secret Service']",68,57,https://www.imdb.com/name/nm0000147/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000147/awards?ref_=nm_ql_2
76,Alison Lohman,9/18/79,"Palm Springs, California, USA","['White Oleander', 'Drag Me to Hell', 'Matchstick Men', 'Gamer']",3,8,https://www.imdb.com/name/nm0517844/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0517844/awards?ref_=nm_ql_2
77,Emily Browning,12/7/88,"Melbourne, Victoria, Australia","['A Series of Unfortunate Events', 'Sucker Punch', 'Sleeping Beauty', 'Pompeii']",5,9,https://www.imdb.com/name/nm0115161/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0115161/awards?ref_=nm_ql_2
78,Odette Annable,5/10/85,"Los Angeles, California, USA","['Cloverfield', 'The Unborn', 'You Again', 'The Double']",1,4,https://www.imdb.com/name/nm0951148/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0951148/awards?ref_=nm_ql_2
79,Matthew McConaughey,11/4/69,"Uvalde, Texas, USA","['Dallas Buyers Club', 'Magic Mike', 'Killer Joe', 'Mud']",48,79,https://www.imdb.com/name/nm0000190/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000190/awards?ref_=nm_ql_2
80,Morgan Freeman,6/1/37,"Memphis, Tennessee, USA","['Se7en', 'Invictus', 'Million Dollar Baby', 'Driving Miss Daisy']",61,79,https://www.imdb.com/name/nm0000151/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000151/awards?ref_=nm_ql_2
81,Ricky Gervais,6/25/61,"Reading, Berkshire, England, UK","['The Office', 'The Invention of Lying', 'Extras', 'Ghost Town']",25,57,https://www.imdb.com/name/nm0315041/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0315041/awards?ref_=nm_ql_2
82,Elijah Wood,1/28/81,"Cedar Rapids, Iowa, USA","['The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Two Towers', 'The Good Son']",27,44,https://www.imdb.com/name/nm0000704/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000704/awards?ref_=nm_ql_2
83,Reese Witherspoon,3/22/76,"New Orleans, Louisiana, USA","['Wild', 'Legally Blonde', 'Walk the Line', 'Election']",54,103,https://www.imdb.com/name/nm0000702/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000702/awards?ref_=nm_ql_2
84,Sean Patrick Flanery,10/11/65,"Lake Charles, Louisiana, USA","['Powder', 'The Boondock Saints', 'The Boondock Saints II: All Saints Day', 'Simply Irresistible']",1,2,https://www.imdb.com/name/nm0001218/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001218/awards?ref_=nm_ql_2
85,Ethan Hawke,11/6/70,"Austin, Texas, USA","['Training Day', 'Before Sunrise', 'Before Midnight', 'Before Sunset']",61,143,https://www.imdb.com/name/nm0000160/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000160/awards?ref_=nm_ql_2
86,Carey Mulligan,5/28/85,"Westminster, London, England, UK","['Never Let Me Go', 'An Education', 'Shame', 'Suffragette']",43,76,https://www.imdb.com/name/nm1659547/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1659547/awards?ref_=nm_ql_2
87,Daniel Day-Lewis,4/29/57,"Greenwich, London, England, UK","['There Will Be Blood', 'The Last of the Mohicans', 'Gangs of New York', 'Lincoln']",143,92,https://www.imdb.com/name/nm0000358/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000358/awards?ref_=nm_ql_2
88,Cameron Diaz,8/30/72,"San Diego, California, USA","[""There's Something About Mary"", 'Vanilla Sky', ""Charlie's Angels"", ""My Best Friend's Wedding""]",29,83,https://www.imdb.com/name/nm0000139/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000139/awards?ref_=nm_ql_2
89,Dwayne Johnson,5/2/72,"Hayward, California, USA","['Jumanji: Welcome to the Jungle', 'Journey 2: The Mysterious Island', 'Moana', 'G.I. Joe: Retaliation']",12,56,https://www.imdb.com/name/nm0425005/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0425005/awards?ref_=nm_ql_2
90,Hayden Panettiere,8/21/89,"Palisades, New York, USA","['Heroes', 'I Love You, Beth Cooper', 'Remember the Titans', 'Scream 4']",10,26,https://www.imdb.com/name/nm0659363/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0659363/awards?ref_=nm_ql_2
91,Jensen Ackles,3/1/78,"Dallas, Texas, USA","['Supernatural', 'My Bloody Valentine', 'Days of Our Lives', 'Ten Inch Hero']",5,18,https://www.imdb.com/name/nm0010075/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0010075/awards?ref_=nm_ql_2
92,Mads Mikkelsen,11/22/65,"_sterbro, Copenhagen, Denmark","['Hannibal', 'The Hunt', 'Doctor Strange', 'Rogue One']",30,34,https://www.imdb.com/name/nm0586568/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0586568/awards?ref_=nm_ql_2
93,Bruce Willis,3/19/55,"Idar-Oberstein, West Germany","['Die Hard', 'Pulp Fiction', 'Moonlighting', 'The Sixth Sense']",22,38,https://www.imdb.com/name/nm0000246/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000246/awards?ref_=nm_ql_2
94,Matt Damon,10/8/70,"Boston, Massachusetts, USA","['Good Will Hunting', 'The Martian', 'The Departed', 'The Talented Mr. Ripley']",36,142,https://www.imdb.com/name/nm0000354/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000354/awards?ref_=nm_ql_2
95,Isaach De Bankolé,8/12/57,"Abidjan, Ivory Coast","['Casino Royale', 'Black Panther', 'Night on Earth', 'The Limits of Control']",3,1,https://www.imdb.com/name/nm0207218/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0207218/awards?ref_=nm_ql_2
96,Amy Adams,8/20/74,"Vicenza, Veneto, Italy","['Arrival', 'Enchanted', 'American Hustle', 'Doubt']",70,222,https://www.imdb.com/name/nm0010736/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0010736/awards?ref_=nm_ql_2
97,Paul Bettany,5/27/71,"Harlesden, London, England, UK","['Master and Commander: The Far Side of the World', ""A Knight's Tale"", 'Margin Call', 'Avengers: Age of Ultron']",7,21,https://www.imdb.com/name/nm0079273/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0079273/awards?ref_=nm_ql_2
98,Jay Baruchel,4/9/82,"Ottawa, Ontario, Canada","['Goon', 'This Is the End', 'How to Train Your Dragon', 'How to Train Your Dragon 2']",4,11,https://www.imdb.com/name/nm0059431/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0059431/awards?ref_=nm_ql_2
99,Srdjan 'Zika' Todorovic,3/28/65,"Belgrade, Serbia, Yugoslavia","['Srpski film', 'Crna macka, beli macor', 'Underground', 'Prokleti pas']",1,2,https://www.imdb.com/name/nm0865411/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0865411/awards?ref_=nm_ql_2
100,Mandy Moore,4/10/84,"Nashua, New Hampshire, USA","['A Walk to Remember', 'Tangled', 'Saved!', '47 Meters Down']",10,19,https://www.imdb.com/name/nm0601553/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0601553/awards?ref_=nm_ql_2
101,Mia Wasikowska,10/14/89,"Canberra, Australian Capital Territory, Australia","['Alice in Wonderland', 'Stoker', 'Crimson Peak', 'The Kids Are All Right']",6,38,https://www.imdb.com/name/nm1985859/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1985859/awards?ref_=nm_ql_2
102,Aaron Taylor-Johnson,6/13/90,"High Wycombe, Buckinghamshire, England, UK","['Kick-Ass', 'Nocturnal Animals', 'Nowhere Boy', 'Godzilla']",4,17,https://www.imdb.com/name/nm1093951/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1093951/awards?ref_=nm_ql_2
103,Elena Anaya,7/17/75,"Palencia, Palencia, Castilla y León, Spain","['La piel que habito', 'Wonder Woman', 'Room in Rome', 'Sex and Lucía']",10,17,https://www.imdb.com/name/nm0025745/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0025745/awards?ref_=nm_ql_2
104,Emma Stone,11/6/88,"Scottsdale, Arizona, USA","['La La Land', 'Easy A', 'The Help', 'Birdman or (The Unexpected Virtue of Ignorance)']",68,157,https://www.imdb.com/name/nm1297015/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1297015/awards?ref_=nm_ql_2
105,Lubna Azabal,NA,NA,"['Incendies', 'Coriolanus', 'Body of Lies', 'Strangers']",10,2,https://www.imdb.com/name/nm0044073/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0044073/awards?ref_=nm_ql_2
106,Ryan Gosling,11/12/80,"London, Ontario, Canada","['Blue Valentine', 'La La Land', 'The Notebook', 'Drive']",34,146,https://www.imdb.com/name/nm0331516/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0331516/awards?ref_=nm_ql_2
107,Ben Affleck,8/15/72,"Berkeley, California, USA","['Argo', 'Gone Girl', 'The Town', 'Good Will Hunting']",73,108,https://www.imdb.com/name/nm0000255/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000255/awards?ref_=nm_ql_2
108,Jeff Bridges,12/4/49,"Los Angeles, California, USA","['The Big Lebowski', 'Crazy Heart', 'True Grit', 'Hell or High Water']",47,106,https://www.imdb.com/name/nm0000313/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000313/awards?ref_=nm_ql_2
109,Patrick Wilson,7/3/73,"Norfolk, Virginia, USA","['The Phantom of the Opera', 'Hard Candy', 'Insidious', 'Watchmen']",2,18,https://www.imdb.com/name/nm0933940/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0933940/awards?ref_=nm_ql_2
110,Tyler Labine,4/29/78,"Brampton, Ontario, Canada","['Tucker and Dale vs Evil', 'Rise of the Planet of the Apes', 'Flyboys', 'Monsters University']",5,5,https://www.imdb.com/name/nm0479527/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0479527/awards?ref_=nm_ql_2
111,Cher,5/20/46,"El Centro, California, USA","['Moonstruck', 'Burlesque', 'Mermaids', 'Silkwood']",36,55,https://www.imdb.com/name/nm0000333/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000333/awards?ref_=nm_ql_2
112,Logan Lerman,1/19/92,"Beverly Hills, California, USA","['The Perks of Being a Wallflower', 'Fury', 'Indignation', 'Percy Jackson & The Olympians: The Lightning Thief: Deleted Scenes']",7,21,https://www.imdb.com/name/nm0503567/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0503567/awards?ref_=nm_ql_2
